CIURESCU AUREL PERSOANA FIZICA AUTORIZATA^20458968^F35/165/2003^ROONRC.F35/165/2003^1084,2080^Sat Tormac, Comuna Tormac Nr. 76, Judet Timis
B.C.C.D. TEAM SRL^14878568^J35/1450/2002^ROONRC.J35/1450/2002^1052,1074,1084,2080,2120^Municipiul Lugoj, Spl. SPORTURILOR Nr. 1/B, Apartament 17, Judet Timis
DOBOS AMALIA PF^2740330353944^F35/202/2003^ROONRC.F35/202/2003^1084^Municipiul Timisoara, Str. MARTIR VASILE BALMUS Nr. 56, Bloc 55, Scara F, Etaj 4, Apartament 10, Judet Timis
MIHA STYLING SRL^15582756^J35/1605/2003^ROONRC.J35/1605/2003^1084,2038,2069,2074,2103,2110,2112,2114^Municipiul Timisoara, Str. PADURARILOR Nr. 6, Bloc A11D, Etaj P, Apartament 4, Judet Timis
HANES IOAN PF^1510611352655^F35/316/2003^ROONRC.F35/316/2003^1084^Municipiul Lugoj, Spl. CAMPIONILOR Nr. 22, Scara A, Etaj 4, Apartament 17, Judet Timis
GALVANOTEHNICA SRL^641293^J30/79/1992^ROONRC.J30/79/1992^1084,2038,2080,2112,2114^Municipiul Satu Mare, Str. FABRICII Nr. 22, Judet Satu Mare
SABOU V SNC^2830710^J30/80/1992^ROONRC.J30/80/1992^1084,2038,2074,2103,2110,2112,2114^Sat Paulesti, Comuna Paulesti, Str. MICA Nr. 37, Judet Satu Mare
CERGHIZAN A SNC^7135374^J30/81/1992^ROONRC.J30/81/1992^1084,2038,2074,2103,2110,2112,2114^Municipiul Satu Mare, Str. ANA IPATESCU Nr. 28, Judet Satu Mare
LUCKY SRL^2385256^J30/82/1992^ROONRC.J30/82/1992^1084,2076^Municipiul Satu Mare, B-dul LUCIAN BLAGA, Bloc 10/A, Judet Satu Mare
FARCAS TRANSPORT RAPID SRL^638808^J30/84/1992^ROONRC.J30/84/1992^1084,2076^Municipiul Satu Mare, Str. AURORA, Bloc E.2, Apartament 17, Judet Satu Mare
PUMUKLI SRL^649750^J30/87/1992^ROONRC.J30/87/1992^1084,2076^Municipiul Satu Mare, Str. MILENIULUI Nr. 15/A, Judet Satu Mare
AXA SRL^5930195^J30/88/1992^ROONRC.J30/88/1992^1084,2076^Municipiul Satu Mare, Str. GAVRIL LAZAR DE PURCARET Nr. 6, Judet Satu Mare
SIKEDI SRL^5775768^J30/867/1994^ROONRC.J30/867/1994^1084,2076^Municipiul Satu Mare, Str. CAREIULUI Nr. 4, Apartament 75, Judet Satu Mare
KENDI SRL^5736734^J30/868/1994^ROONRC.J30/868/1994^1084,2076^Sat Bixad, Comuna Bixad, Str. PRINCIPALA Nr. 846, Judet Satu Mare
AUSTIN SRL^5736742^J30/869/1994^ROONRC.J30/869/1994^1084^Sat Trip, Comuna Bixad Nr. 12/A, Judet Satu Mare
SAMI MI SRL^6782984^J30/2080/1994^ROONRC.J30/2080/1994^1084,2038,2074,2103,2110,2112,2114^Municipiul Satu Mare, Str. WOLFENBUTTEL Nr. 61, Judet Satu Mare
ORIDA COM SRL^6661362^J30/2081/1994^ROONRC.J30/2081/1994^1052,1084,2080^Sat Lazuri, Comuna Lazuri, Str. PRINCIPALA Nr. 377/K, Judet Satu Mare
LUP DOREL AF^10540997^F30/334/1998^ROONRC.F30/334/1998^1084,2075^Municipiul Satu Mare, Str. DIMA Nr. 1/A, Judet Satu Mare
TOMAS CENTER SRL^0^J30/334/1999^ROONRC.J30/334/1999^1084,2038,2074,2103,2110,2112,2114^Sat Calinesti-Oas, Comuna Calinesti-Oas, Str. PRINCIPALA Nr. 2, Judet Satu Mare
