"SMART TAGS SRL-D","36115133","J40/7255/2016","ROONRC.J40/7255/2016","1048","Bucuresti Sectorul 1, Str. MIRCEA VULCANESCU Nr. 131, CORP B","8559","","3389","","2570","819","","10846","","","-7457","200","","6093","6093","18254","0","12161","0","12344",""
"MIFA SECURITY SRL","36115206","J40/7271/2016","ROONRC.J40/7271/2016","1048","Bucuresti Sectorul 4, Sos. GIURGIULUI Nr. 131, CAMERA NR. 1, Etaj 6, Apartament 22","8020","1595","12668","63","9200","3405","0","46306","0","0","-32043","200","0","82885","82885","89872","0","6987","0","7851","0"
"CASA DOGARILOR SRL","15423602","J13/1517/2003","ROONRC.J13/1517/2003","1048,2080","Sat 2 Mai, Comuna Limanu, Com. LIMANU, Judet Constanta","22473","22473","121499","1248","118447","1804","","233544","233544","","-89572","200","","109357","109358","103076","6282","0","5188","0","3"
"TRADE MARK AGENCY SRL","36115532","J40/7296/2016","ROONRC.J40/7296/2016","1048","Bucuresti Sectorul 3, Str. BANU UDREA Nr. 4, Bloc G8, Scara A, Etaj 2, Apartament 28","7490","238","2950","0","50","2900","0","773","0","0","2415","200","0","9763","9763","8338","1425","0","1132","0","1"
"BIONICTRUCKS SRL","36115486","J40/7298/2016","ROONRC.J40/7298/2016","1048","Bucuresti Sectorul 5, B-dul REGINA ELISABETA Nr. 63, CAMERA 1, Scara A, Etaj 4, Apartament 57","4941","","75009","","19229","55780","","21042","","","53967","200","","119498","119877","59870","60007","0","58810","0","1"
"MIRIAM PROIECT CONSULTING SRL","36115478","J40/7300/2016","ROONRC.J40/7300/2016","1048","Bucuresti Sectorul 6, Prel. Ghencea Nr. 65B, CAMERA 1, Bloc G, Scara 2, Etaj 5, Apartament 16","7111","4235","16659","","13995","2664","","620","","","20274","400","","13995","13995","12350","1645","0","1225","0","0"
"CIONCIONICA SRL","15450402","J13/1629/2003","ROONRC.J13/1629/2003","1052,1074,2080,2120","Municipiul Constanta, B-dul AUREL VLAICU Nr. 90A, Bloc AV26, Scara F, Apartament 86, Judet Constanta","","","14","","","14","","10407","10407","","-10393","200","","","0","","0","0","0","0",""
"P.D.K. ASSIST - ASISTENT IN BROKERAJ SRL","36119712","J40/7326/2016","ROONRC.J40/7326/2016","1048","Bucuresti Sectorul 2, Aleea CISLAU Nr. 5, Bloc 3D, Scara A, Etaj 4, Apartament 28","6622","35153","292019","0","3854","288165","0","3744","0","0","323428","200","0","440482","440564","112961","327603","0","323188","0","2"
"SISTER'S MARKET  SRL","36119798","J40/7332/2016","ROONRC.J40/7332/2016","1048","Bucuresti Sectorul 6, Str. DRUMUL TABEREI Nr. 82, CAMERA 1, Bloc C16, Scara E, Etaj 6, Apartament 255","4729","42308","94119","13773","37819","42527","","162689","","","-26262","200","","1049789","1060280","1100187","0","39907","0","49927","3"
"MARICOM SRL","1485273","J38/1272/1991","ROONRC.J38/1272/1991","1048,2080","Municipiul Dragasani, Str. Gib Mihaescu Nr. 2, Bloc A, Scara C, Judet Valcea","156689","156689","56782","55191","297","1294","","5777","5777","","207694","340","","69949","69949","40941","29008","0","26911","0","1"
"BELONA SRL","1487568","J38/1275/1991","ROONRC.J38/1275/1991","1048,2080","Municipiul Dragasani, Str. GARII, Judet Valcea","97720","97720","234467","183304","2218","48945","","180977","180977","","151210","210","","914522","915364","780647","134717","0","125171","0","2"
"LORIS SRL","5816256","J38/653/1994","ROONRC.J38/653/1994","1048,2080","Sat Stoenesti, Comuna Berislavesti, Com. Berislavesti, Judet Valcea","382","382","248551","34975","210741","2835","","371372","371372","","-122439","4930","","645711","878417","796518","81899","0","76378","0","11"
"ECO TECH SERVICE SRL","13175144","J13/1263/2000","ROONRC.J13/1263/2000","1048,2080","Municipiul Constanta, B-dul AUREL VLAICU Nr. 125, LOT 12, BIROUL S7, Judet Constanta","79075","79075","496577","191437","227268","77872","0","380806","380806","","194846","436","","615895","617468","538527","78941","0","73019","0","3"
"MONDOCRIS SRL","5815617","J38/654/1994","ROONRC.J38/654/1994","1048,2080","Municipiul Ramnicu Valcea, Str. GIB MIHAESCU Nr. 9, Bloc S5, Scara B, Etaj 4, Apartament 12, Judet Valcea","10201","10201","3670","2383","423","864","","25672","25672","","-11801","200","","","0","","0","0","0","0",""
"DAIANA COM SRL","5815846","J38/656/1994","ROONRC.J38/656/1994","1048,2080","Municipiul Ramnicu Valcea, Str. Regina Maria Nr. 15, Bloc C7, Scara A, Judet Valcea","306944","306944","724051","712519","1844","9688","","497019","497019","","533976","1100","","478981","479822","413935","65887","0","61401","0","4"
"PRACTIC CENTER SA","13239396","J13/1403/2000","ROONRC.J13/1403/2000","1048,2080","Municipiul Constanta, B-dul 1 DECEMBRIE 1918 Nr. 3, Bloc F17, Scara A, Apartament 5, Judet Constanta","7756959","7756959","4487","","3776","711","642405","4194257","4194257","","4209594","1686000","","858909","999553","623423","376130","0","362475","0","2"
"USUS SRL-D","36148408","J8/1195/2016","ROONRC.J8/1195/2016","1048","Sat Cristian, Comuna Cristian, Str. LUNGA Nr. 136, Judet Brasov","9601","132920","10373","1947","0","8426","0","30067","132920","","-19694","200","","20503","65244","82483","0","17239","0","17439","1"
"M&E SANIT SRL","13183961","J13/1330/2000","ROONRC.J13/1330/2000","1048,2080","Municipiul Constanta, Str. VICEAMIRAL IOAN MURGESCU Nr. 59, Judet Constanta","42000","42000","4867","","4287","580","","267318","267318","","-220451","400","","","0","720","0","720","0","720",""
"CONFORT TOURING SRL","28970660","J34/515/2011","ROONRC.J34/515/2011","1048,2080","Municipiul Alexandria, Str. DUNARII, Bloc PATRIA, Scara C, Apartament 126, Judet Teleorman","1944","1944","83503","","9940","73563","","23107","23107","","62340","200","","117840","192276","128650","63626","0","61121","0","2"
"IDEALMOB ART DESIGN SRL","34926910","J23/1400/2016","ROONRC.J23/1400/2016","1048","Oras Pantelimon, Str. ORIZONTULUI Nr. 18, CAMERA NR. 1, TARLA 73, PARCELA 740, Judet Ilfov","3101","1500","248826","54206","192317","2303","","402923","119708","","-272305","200","","606857","606906","451891","155015","0","148735","0","4"
"MASTER AUTO RLG SRL","36034365","J3/860/2016","ROONRC.J3/860/2016","1048","Sat Stefanestii Noi, Oras Stefanesti, Aleea I.C.H.V. Nr. 212, Camera nr.2, Etaj Parter, Judet Arges","8553","19440","14173","","486","13687","","115187","","","-81574","200","","525851","536095","609784","0","73689","0","79050","21"
"TRANSPORTURI AUTO GIULESTI SA","455673","J40/405/1991","ROONRC.J40/405/1991","1048,2065,2070,2080","Bucuresti Sectorul 6, Calea GIULESTI Nr. 177","13071224","13071224","240003","","175156","64847","648","54321","54321","","13257554","446300","","687908","690301","661997","28304","0","21943","0","10"
"NEW OLT ALEX WAW SRL","36050859","J28/350/2016","ROONRC.J28/350/2016","1048","Municipiul Slatina, Str. LIBERTATII Nr. 13, Bloc GA8A, Scara A, Apartament 8, Judet Olt","4932","51423","5892","","350","5542","","3541","","","53774","200","","114602","114602","54205","60397","0","58955","0","1"
"GAROF DAN SRL","14187236","J13/1701/2001","ROONRC.J13/1701/2001","1048,2080","Municipiul Constanta, Str. TEPES VODA Nr. 31A, Judet Constanta","0","0","51867","11812","40055","0","","103368","103368","","-51501","200","","21666","21666","18622","3044","0","2394","0","1"
"TRANSPORTURI AUTO ASTRA SA","434921","J40/691/1991","ROONRC.J40/691/1991","1070,1139,2070,2072,2080","Bucuresti Sectorul 6, B-dul TIMISOARA Nr. 92A","8262802","8262802","7244144","2410","7076032","165702","691","15791773","15791773","","-284136","1000000","","1054819","4012861","2777062","1235799","0","1229068","0","1"
"CORAL ALTENPFLEGE S.R.L.","36091476","J2/694/2016","ROONRC.J2/694/2016","1048","Municipiul Arad, B-dul REVOLUTIEI Nr. 44, Corp A, Etaj parter, Apartament 11, Judet Arad","7810","192","1117","","500","617","","2343","","","-1034","200","","500","500","1434","0","934","0","934",""
"CABINET MEDICAL DR.RATIU CARMEN SRL","14161651","J13/1638/2001","ROONRC.J13/1638/2001","1048,2080","Loc. Navodari, Oras Navodari, Str. RANDUNELELOR Nr. 6, Bloc 12SUD, Scara C, Etaj P, Apartament 24, Judet Constanta","4898","4898","92858","","13045","79813","","8585","8585","","89171","200","","122695","124550","64932","59618","0","58372","0","3"
"CTC STORE  SRL","36136381","J1/501/2016","ROONRC.J1/501/2016","1048","Loc. Barabant, Municipiul Alba Iulia, Str. GARII Nr. 4 B, Judet Alba","4762","928","297419","214033","44873","38513","","175006","","","123341","300","","1152741","1154557","1012851","141706","0","130024","0","4"
"FAROS RULEXIM SRL","14218529","J13/1769/2001","ROONRC.J13/1769/2001","1048,2080","Municipiul Constanta, B-dul 1 MAI Nr. 29, Bloc PF9, Scara A, Etaj 2, Apartament 11, Judet Constanta","","","1530","","","1530","","349","349","","1181","200","","1698","1698","578","1120","0","941","0",""
"BEATRICE TOUR SRL","36136390","J1/502/2016","ROONRC.J1/502/2016","1048","Municipiul Alba Iulia, Str. GHEORGHE DOJA, Apartament 3/1, Judet Alba","7911","28880","355","","","355","","33983","","","-4748","200","","","0","4948","0","4948","0","4948",""
"YAN SPECIAL CONSTRUCT  S.R.L.","36340780","J20/800/2016","ROONRC.J20/800/2016","1048","Sat Ilia, Comuna Ilia, Str. LIBERTATII Nr. 38, Judet Hunedoara","7732","280895","109331","0","0","109331","0","256840","0","0","133386","200","0","192000","192000","71978","120022","0","118102","0","1"
"DERATEX SRL","14258213","J13/1884/2001","ROONRC.J13/1884/2001","1048,2080","Municipiul Constanta, Str. DUILIU ZAMFIRESCU Nr. 39 BIS, Judet Constanta","","","69112","2431","14913","51768","","5910","5910","","63202","200","","114720","114721","50612","64109","0","62962","0","2"
"DACRIMAR TINATEX S.R.L.","36341939","J20/802/2016","ROONRC.J20/802/2016","1048","Municipiul Petrosani, Str. 1 DECEMBRIE 1918, Bloc 103, Etaj 2, Apartament 18, Judet Hunedoara","1439","2722","146022","17231","100312","28479","","86955","","","61789","200","","428428","446042","431004","15038","0","10751","0","16"
"SECURE STEF TRAVEL SRL","36353097","J26/1038/2016","ROONRC.J26/1038/2016","1048","Municipiul Tirgu Mures, Str. VIOLETELOR Nr. 5, Apartament 36, Judet Mures","4932","25100","21704","","","21704","215","1264","","","45755","210","","100590","109714","60920","48794","0","45503","0","1"
"TELESOFT SRL","21970540","J38/595/2007","ROONRC.J38/595/2007","1048,2080","Municipiul Ramnicu Valcea, Str. Calea lui Traian Nr. 76, Bloc S15, Scara A, Apartament 6, Judet Valcea","167602","167602","141448","76588","50081","14779","","430427","430427","","-121377","400","","786557","853130","956977","0","103847","0","111360","20"
"MIRAND INTERNATIONAL SRL","14258230","J13/1874/2001","ROONRC.J13/1874/2001","1107,1139","Municipiul Constanta, B-dul 1 DECEMBRIE 1918 Nr. 39, Bloc L22, Scara B, Apartament 51, Judet Constanta","","","387577","","387352","225","","984108","984108","","-596531","200","","","0","27242","0","27242","0","27242","3"
"COSMI EXPERT SRL","23941079","J38/603/2008","ROONRC.J38/603/2008","1048","Municipiul Ramnicu Valcea, Str. Calea lui Traian Nr. 60, Bloc S31, Scara D, Apartament 9, Judet Valcea","50194","50194","175692","","93705","81987","","15455","15455","","210431","200","","215000","223100","138258","84842","0","82692","0","4"
"ETRE BELLE TOPAMY SRL-D","35865587","J3/624/2016","ROONRC.J3/624/2016","1048","Municipiul Campulung, Str. ALEXANDRU CEL BUN Nr. 9, Bloc D25, Scara A, Etaj 2, Apartament 8, Judet Arges","9602","59216","86843","78426","5236","3181","","127865","","","18194","200","","111220","115757","103452","12305","0","11147","0","3"
"VANDECO GROUP SRL","14266186","J13/1901/2001","ROONRC.J13/1901/2001","1048,2080","Municipiul Constanta, Str. SOVEJA Nr. 104, Bloc 44, Scara C, Apartament 31, Judet Constanta","0","0","360246","340471","13801","5974","","401254","401254","","-41008","200","","453920","459351","476092","0","16741","0","21334","5"
"ANA TOGAN BUSINESS SRL","35865617","J3/627/2016","ROONRC.J3/627/2016","1048","Sat Valea Mare-Podgoria, Oras Stefanesti, Drumul VALEA MARE Nr. 225B, Judet Arges","4711","687","72523","41056","","31467","","10600","","","62610","200","","432749","435665","368967","66698","0","62370","0","1"
"AMICII RYO SPEED SRL","35865609","J3/626/2016","ROONRC.J3/626/2016","1048","Municipiul Pitesti, Str. DR. CAROL DAVILA Nr. 9, biroul 1, Cartier Gavana, Bloc A3, Scara D, Judet Arges","4941","241754","174284","7517","112481","54286","","432769","","","-16731","500","","582691","591838","571563","20275","0","14350","0","2"
"BEST WOOD COMPANY SA","14335880","J13/2097/2001","ROONRC.J13/2097/2001","1048,2070,2080","Municipiul Constanta, Aleea GAROFITEI Nr. 4, Bloc L80, Scara A, Etaj P, Judet Constanta","1232965","1232965","5027850","","2297024","2730826","","331596","331596","","5929219","2003920","","","569993","248350","321643","0","270180","0","1"
"CAO BATEMENT SRL","35961762","J5/817/2016","ROONRC.J5/817/2016","1070,1139","Sat Ceica, Comuna Ceica, Str.CEICA Nr. 163, Judet Bihor","4331","","122101","14504","27534","80063","","30814","","","91287","200","","584045","586475","526988","59487","0","53647","0","9"
"ORTIRAM CONSTRUCT SRL","35961797","J5/822/2016","ROONRC.J5/822/2016","1048","Sat Ortiteag, Comuna Magesti, Str.ORTITEAG Nr. 44, Judet Bihor","4299","522","32975","","9600","23375","","1473","","","32024","200","","9600","9600","8917","683","0","395","0","1"
"REM-EDY-TRANS SRL","24040894","J38/669/2008","ROONRC.J38/669/2008","1048,2114","Municipiul Dragasani, Str. Regele Carol, Bloc C, Scara B, Etaj 3, Apartament 14, Judet Valcea","4921","4921","73509","2362","46177","24970","","19254","19254","","59176","200","","","3025","168","2857","0","2766","0",""
"KENTUKI SRL","14432734","J13/619/2002","ROONRC.J13/619/2002","1048,2080","Municipiul Constanta, Str. ABRUD Nr. 40, Judet Constanta","120809","120809","127785","-22674","54420","96039","","537260","537260","","-288666","200","","1247354","1247447","1009137","238310","0","226410","0","8"
"AMI CONSTELATIE SRL","14423965","J13/605/2002","ROONRC.J13/605/2002","1048,2080","Municipiul Constanta, Str. AMURGULUI Nr. 4-8A, Judet Constanta","114840","114840","70848","509","16416","53923","","211557","211557","","-25869","200","","1379373","1562361","1413575","148786","0","133162","0","7"
"COLION SRL","24614997","J38/1070/2008","ROONRC.J38/1070/2008","1048","Municipiul Ramnicu Valcea, Str. Regina Maria Nr. 5, Bloc J, Etaj P, Judet Valcea","241119","241119","486764","22700","363907","100157","","2851","2851","","720124","1800","","87808","87808","20845","66963","0","64329","0",""
"CUCINA FIRENZE SRL","37182475","J40/3075/2017","ROONRC.J40/3075/2017","1048","Bucuresti Sectorul 3, Aleea BARAJUL BICAZ Nr. 11B, Bloc M32B, Scara C, Etaj 10, Apartament 123","2152","2152","136619","37379","15976","83264","","93561","93561","","45210","200","","937044","974296","919044","55252","0","45010","0","3"
"BARBU DIMITRIS SEBASTIAN SRL","37183470","J40/3078/2017","ROONRC.J40/3078/2017","1048,2069","Bucuresti Sectorul 5, Calea 13 Septembrie Nr. 65-69, Bloc 65-67, Scara 2, Apartament 40","","","80413","","78900","1513","","19327","19327","","61086","200","","132737","132864","70649","62215","0","60886","0","3"
"GRAND GALAXY CONCEPT GROUP SRL","32950343","J23/3605/2016","ROONRC.J23/3605/2016","1048","Oras Voluntari, Str. EROU IANCU NICOLAE Nr. 97, parter, Judet Ilfov","7022","451695","1451767","2311","1447622","1834","","1972017","","","-68555","200","","","3873","5467","0","1594","0","1594",""
"LARIFLOR TRANS SRL","23446801","J38/313/2008","ROONRC.J38/313/2008","1048,2080","Municipiul Ramnicu Valcea, Intr. VIOLETELOR Nr. 2, biroul nr.1, Bloc N25, Scara A, Apartament 13, Judet Valcea","427","427","120403","535","27841","92027","","292176","292176","","-171346","200","","1323442","1323442","1250498","72944","0","59701","0","1"
"RAZVAN CONSTRUCT DESIGN SRL","31212895","J23/3604/2016","ROONRC.J23/3604/2016","1048","Oras Popesti Leordeni, Str. MAICA TEREZA, CAMERA 2, Etaj 2, Apartament 14, Judet Ilfov","4120","","168664","129244","33716","5704","","293745","","","-125081","200","","104822","104822","181982","0","77160","0","78208","1"
"SORVALCOM SRL","23531141","J38/360/2008","ROONRC.J38/360/2008","1048","Sat Calina, Comuna Prundeni, Str. Tudor Vladimirescu Nr. 5, Judet Valcea","","","9724","501","","9223","","58737","58737","","-49013","200","","74201","74201","92424","0","18223","0","18965","2"
